"Week MH9","Top 5 ht W9","Top 1 ht W9","Top 10 ht W9","Dry Weight (g)"
74,418.699259769323,470.04991394148,391.29593285991,26.29
60,223.319005270092,288.308896210873,193.187762496912,9.03
65,348.088523411522,390.823370786517,326.75634745877,18.17
63,375.844926993636,449.22500935979,342.637752236906,31.5
70,534.665313278583,583.766035994462,503.805988742272,22.68
64,325.094254699497,377.892762577228,299.226424253122,17.2
65,506.480929003021,557.679886685552,458.261883408072,26.62
59,406.682079154865,471.772675086108,369.426280333767,22.79
67,264.153058737509,332.280146163216,222.54564290067,12.78
76,527.426821905994,597.500215610177,492.213204536634,28.93
59,214.892,267.837,189.0987,15.51
75,474.383667722633,529.391992960845,442.290553917902,35.11
65,464.769736842105,539.993127147766,413.441918695994,22.79
63,334.855525081837,389.812472357364,306.952399911524,9.46
60,315.344436033308,364.010219530659,291.423694171083,14.05
60,293.023466447098,373.441333882256,260.792301358584,19.93
63,421.203257790368,499.224911452184,367.531546951543,19.63
72,335.094310210444,391.259419662191,304.610954752111,11.17
57,385.835976151212,459.754597336715,341.680832170493,7.41
